;             Total Samples In File
;Info  Date: September 15,2022,  Time: 10:27:42,  DataLabel: GEM2
;Note1:
;Note2:
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_32275Hz,Q1_32275Hz,I1_49125Hz,Q1_49125Hz,I1_79025Hz,Q1_79025Hz,I1_86025Hz,Q1_86025Hz,I1_95975Hz,Q1_95975Hz,Q1_SumC
 0,   0,   0,0,0,37662494.900,  103.1, 3.8810000e+004, 3.7487043e+004, 1.6016988e+004, 2.3740510e+004,-8.1625125e+004, 4.3857555e+004,-6.6038602e+004, 4.8349875e+004,-1.6517035e+004, 6.0632699e+004, 2.1406768e+005
 0,   1,   0,0,0,37662614.900,   96.8, 3.9441895e+004, 3.6979852e+004, 1.4992243e+004, 2.5144115e+004,-8.1899844e+004, 4.3847195e+004,-6.5944211e+004, 4.7961352e+004,-1.6235625e+004, 6.0477730e+004, 2.1441024e+005
 0,   2,   0,0,0,37662734.900,   93.1, 3.6550871e+004, 3.7795754e+004, 1.4386639e+004, 2.5452477e+004,-8.2251008e+004, 4.3289340e+004,-6.5849219e+004, 4.7537289e+004,-1.7547434e+004, 6.1924230e+004, 2.1599909e+005
 0,   3,   0,0,0,37662854.900,   92.9, 3.3492473e+004, 3.6247824e+004, 1.4408077e+004, 2.3143750e+004,-8.2399258e+004, 4.2990781e+004,-6.5935922e+004, 4.7429320e+004,-1.8315715e+004, 6.2966824e+004, 2.1277850e+005
 0,   4,   0,0,0,37662974.900,   97.0, 3.4535320e+004, 3.5644199e+004, 1.5142910e+004, 2.4348627e+004,-8.2292258e+004, 4.3264301e+004,-6.5528277e+004, 4.7295961e+004,-1.7561633e+004, 6.3837699e+004, 2.1439079e+005
 0,   5,   0,0,0,37663095.000,   89.6, 3.7698883e+004, 3.6535902e+004, 1.3131963e+004, 2.7414654e+004,-8.2261898e+004, 4.3565484e+004,-6.5483602e+004, 4.7553289e+004,-1.6134125e+004, 6.4122168e+004, 2.1919150e+005
 0,   6,   0,0,0,37663214.900,  101.9, 3.7284266e+004, 3.6924105e+004, 1.3544684e+004, 2.8219348e+004,-8.2379156e+004, 4.3779238e+004,-6.5312809e+004, 4.7866352e+004,-1.6205484e+004, 6.2887801e+004, 2.1967684e+005
 0,   7,   0,0,0,37663334.900,  113.7, 3.5726902e+004, 3.7248543e+004, 1.5317225e+004, 2.6500193e+004,-8.2585695e+004, 4.4057957e+004,-6.5018602e+004, 4.7844156e+004,-1.6596070e+004, 6.1951559e+004, 2.1760241e+005
 0,   8,   0,0,0,37663454.900,   96.0, 3.6829887e+004, 3.6534875e+004, 1.4759474e+004, 2.3273830e+004,-8.2479211e+004, 4.4368914e+004,-6.5272727e+004, 4.7618609e+004,-1.6169523e+004, 6.1296176e+004, 2.1309240e+005
 0,   9,   0,0,0,37663574.900,   94.7, 3.8696656e+004, 3.6758816e+004, 1.2237801e+004, 2.3399697e+004,-8.2008789e+004, 4.4194516e+004,-6.5291141e+004, 4.7412203e+004,-1.6143777e+004, 6.1913168e+004, 2.1367840e+005
