;52           Total Samples In File
;Info  Date: September 15,2022,  Time: 14:46:11,  DataLabel: GEM2
;Note1:
;Note2:
Line,Sample,Mark,Status,GPSStat,Time[ms],PowerLn1,I1_32275Hz,Q1_32275Hz,I1_49125Hz,Q1_49125Hz,I1_79025Hz,Q1_79025Hz,I1_86025Hz,Q1_86025Hz,I1_95975Hz,Q1_95975Hz,Q1_SumC
 0,   0,   0,0,0,67580237.500,  125.1, 5.5043625e+004, 3.0918521e+004, 3.0549939e+004, 2.0380277e+004,-6.4777648e+004, 3.7808688e+004,-4.8725484e+004, 3.6803270e+004,-4.6036719e+002, 6.5775586e+004, 1.9168634e+005
 0,   1,   0,0,0,67580357.500,  129.5, 5.3816176e+004, 3.1342623e+004, 3.0351758e+004, 2.0284236e+004,-6.5101730e+004, 3.7769617e+004,-5.0800531e+004, 3.8860648e+004, 6.4257148e+003, 5.0604746e+004, 1.7886187e+005
 0,   2,   0,0,0,67580477.600,  127.5, 5.4483836e+004, 3.1789930e+004, 3.0208322e+004, 2.0327795e+004,-6.5820031e+004, 3.7088492e+004,-4.9862227e+004, 4.0640543e+004, 7.5615273e+003, 4.5942332e+004, 1.7578909e+005
 0,   3,   0,0,0,67580597.600,  126.5, 5.5589613e+004, 3.2981605e+004, 2.9984172e+004, 2.0047840e+004,-6.5317992e+004, 3.7170059e+004,-4.6048984e+004, 4.1630914e+004, 5.6680469e+003, 5.5554754e+004, 1.8738517e+005
 0,   4,   0,0,0,67580717.500,  126.0, 5.6027313e+004, 3.2805133e+004, 2.9502072e+004, 1.9807945e+004,-6.4027965e+004, 3.7697605e+004,-4.6988727e+004, 4.0690691e+004,-9.9875000e+002, 5.8925098e+004, 1.8992647e+005
 0,   5,   0,0,0,67580837.500,  124.7, 5.5016520e+004, 3.2005594e+004, 2.9373119e+004, 1.9837049e+004,-6.4486867e+004, 3.7827094e+004,-5.1196238e+004, 3.9005969e+004, 2.4589609e+003, 6.1946066e+004, 1.9062177e+005
 0,   6,   0,0,0,67580957.500,  123.5, 5.3917332e+004, 3.2106441e+004, 2.9339730e+004, 1.9866000e+004,-6.5341414e+004, 3.8047848e+004,-5.1892953e+004, 4.0930012e+004, 4.5721836e+003, 6.6204695e+004, 1.9715500e+005
 0,   7,   0,0,0,67581077.500,  116.3, 5.4261285e+004, 3.2613045e+004, 2.9417869e+004, 1.9948027e+004,-6.5380684e+004, 3.8389809e+004,-5.0106391e+004, 4.2669809e+004, 1.2408242e+003, 6.5709875e+004, 1.9933056e+005
 0,   8,   0,0,0,67581197.500,  114.6, 5.4960301e+004, 3.2397846e+004, 2.9599271e+004, 2.0047111e+004,-6.5215516e+004, 3.7782086e+004,-4.9106418e+004, 4.0681645e+004,-1.8217539e+003, 5.9809863e+004, 1.9071855e+005
 0,   9,   0,0,0,67581317.500,  116.0, 5.5064023e+004, 3.1594953e+004, 2.9793039e+004, 2.0193754e+004,-6.5586023e+004, 3.7400469e+004,-5.0202633e+004, 3.9249117e+004,-3.3169141e+003, 6.0150879e+004, 1.8858917e+005
 0,  10,   0,0,0,67581437.500,  122.2, 5.4082910e+004, 3.1364688e+004, 2.9543805e+004, 2.0119582e+004,-6.6026016e+004, 3.7556277e+004,-5.1813984e+004, 4.0282152e+004,-4.4139727e+003, 5.9754207e+004, 1.8907691e+005
 0,  11,   0,0,0,67581557.500,  120.5, 5.2888473e+004, 3.2110479e+004, 2.9442398e+004, 2.0067621e+004,-6.5577484e+004, 3.7708914e+004,-5.2022117e+004, 4.0589070e+004,-5.3282383e+003, 6.0617074e+004, 1.9109316e+005
 0,  12,   0,0,0,67581677.500,  123.0, 5.3793410e+004, 3.2331100e+004, 2.9665666e+004, 2.0130111e+004,-6.5366234e+004, 3.7609168e+004,-4.8340691e+004, 3.8653430e+004,-5.7832930e+003, 6.5630844e+004, 1.9435465e+005
 0,  13,   0,0,0,67581797.500,  124.1, 5.5166512e+004, 3.1638924e+004, 2.9826197e+004, 2.0254818e+004,-6.5453801e+004, 3.7781070e+004,-4.6933078e+004, 3.6788727e+004,-5.2747461e+003, 6.5296191e+004, 1.9175973e+005
 0,  14,   0,0,0,67581917.500,  124.4, 5.4722293e+004, 3.1661252e+004, 2.9868262e+004, 2.0117596e+004,-6.5362273e+004, 3.7943113e+004,-5.0343270e+004, 3.7496414e+004,-4.0669023e+003, 5.9882566e+004, 1.8710094e+005
 0,  15,   0,0,0,67582037.500,  122.6, 5.3667375e+004, 3.1059836e+004, 2.9860875e+004, 1.9815006e+004,-6.4515805e+004, 3.7430508e+004,-5.2127836e+004, 3.9313875e+004,-4.6039922e+003, 6.3895949e+004, 1.9151517e+005
 0,  16,   0,0,0,67582157.500,  122.6, 5.3523391e+004, 3.0458203e+004, 2.9851281e+004, 2.0040016e+004,-6.4309453e+004, 3.7286180e+004,-4.9743535e+004, 4.1235695e+004,-6.8246055e+003, 6.5786516e+004, 1.9480661e+005
 0,  17,   0,0,0,67582277.500,  111.6, 5.4489543e+004, 3.1029918e+004, 2.9966473e+004, 2.0119902e+004,-6.4898258e+004, 3.7429902e+004,-4.8045645e+004, 4.0076352e+004,-1.2038059e+004, 6.5678336e+004, 1.9433441e+005
 0,  18,   0,0,0,67582397.500,  110.2, 5.4610320e+004, 3.1556111e+004, 3.0230877e+004, 2.0162988e+004,-6.6023063e+004, 3.7664043e+004,-4.9643836e+004, 3.6864508e+004,-9.1325391e+003, 6.5590063e+004, 1.9183771e+005
 0,  19,   0,0,0,67582517.500,  115.4, 5.3539563e+004, 3.1927633e+004, 3.0336025e+004, 2.0714131e+004,-6.6063305e+004, 3.7526668e+004,-5.1603465e+004, 3.8345395e+004,-5.8378438e+003, 5.8896418e+004, 1.8741024e+005
 0,  20,   0,0,0,67582637.500,  113.8, 5.3545672e+004, 3.2384078e+004, 3.0092854e+004, 2.0926973e+004,-6.5562195e+004, 3.7413063e+004,-5.1058559e+004, 4.0920602e+004,-3.5191172e+003, 6.1866129e+004, 1.9351084e+005
 0,  21,   0,0,0,67582757.500,  114.3, 5.3635461e+004, 3.0337477e+004, 2.9613135e+004, 2.0384941e+004,-6.5226504e+004, 3.8008625e+004,-4.8192070e+004, 4.0402566e+004,-2.1275703e+003, 6.5355699e+004, 1.9448931e+005
 0,  22,   0,0,0,67582877.500,  121.3, 5.3432590e+004, 2.9100438e+004, 2.9838537e+004, 2.0332770e+004,-6.5298934e+004, 3.8064355e+004,-4.7500383e+004, 3.8667625e+004,-2.9754258e+003, 5.7996559e+004, 1.8416175e+005
 0,  23,   0,0,0,67582997.500,  124.8, 5.3385297e+004, 3.1154801e+004, 2.9826340e+004, 2.0500311e+004,-6.5568219e+004, 3.7532609e+004,-4.9949285e+004, 3.7471922e+004,-2.9592344e+003, 5.7235449e+004, 1.8389509e+005
 0,  24,   0,0,0,67583117.500,  123.6, 5.3462984e+004, 3.2083777e+004, 2.9653656e+004, 2.0238934e+004,-6.5714680e+004, 3.7615086e+004,-5.1066926e+004, 3.8811367e+004, 7.1314883e+003, 6.3316418e+004, 1.9206558e+005
 0,  25,   0,0,0,67583237.500,  124.3, 5.3374219e+004, 3.1399924e+004, 2.9598242e+004, 1.9957313e+004,-6.5488582e+004, 3.7694945e+004,-4.8418895e+004, 4.2839277e+004, 1.0413621e+004, 6.7199672e+004, 1.9909113e+005
 0,  26,   0,0,0,67583357.600,  123.9, 5.3908371e+004, 3.1247660e+004, 2.9536729e+004, 2.0276551e+004,-6.5493547e+004, 3.7828426e+004,-4.6074219e+004, 4.3213832e+004, 4.0787383e+003, 6.6082117e+004, 1.9864859e+005
 0,  27,   0,0,0,67583477.600,  122.3, 5.4702609e+004, 3.1749428e+004, 2.9441145e+004, 2.0247730e+004,-6.5359098e+004, 3.7745762e+004,-4.7266199e+004, 4.0234629e+004, 2.7882227e+003, 5.8574762e+004, 1.8855231e+005
 0,  28,   0,0,0,67583597.600,  125.8, 5.4800102e+004, 3.2199619e+004, 2.9259545e+004, 2.0088291e+004,-6.5539531e+004, 3.7509891e+004,-5.0202965e+004, 3.9583340e+004, 1.3927227e+003, 5.7147176e+004, 1.8652832e+005
 0,  29,   0,0,0,67583717.500,  124.8, 5.4322727e+004, 3.3220828e+004, 2.9279494e+004, 2.0158961e+004,-6.5549578e+004, 3.7477660e+004,-5.1145738e+004, 4.0125754e+004,-4.4464883e+003, 5.7831879e+004, 1.8881508e+005
 0,  30,   0,0,0,67583837.500,  117.0, 5.3740984e+004, 3.2428305e+004, 2.9412752e+004, 2.0272555e+004,-6.5065477e+004, 3.7291648e+004,-5.0083578e+004, 4.0755770e+004,-2.5859922e+003, 5.9061691e+004, 1.8980997e+005
 0,  31,   0,0,0,67583957.500,  118.4, 5.4058852e+004, 3.0672539e+004, 2.9736027e+004, 2.0148629e+004,-6.4415824e+004, 3.7491801e+004,-4.8395316e+004, 3.8930953e+004,-1.3090508e+003, 6.0513184e+004, 1.8775711e+005
 0,  32,   0,0,0,67584077.500,  119.6, 5.4294734e+004, 3.1252258e+004, 2.9937607e+004, 2.0143076e+004,-6.4619914e+004, 3.7395070e+004,-4.9323699e+004, 3.5688539e+004,-4.0483047e+003, 6.1049902e+004, 1.8552885e+005
 0,  33,   0,0,0,67584197.500,  119.0, 5.4194875e+004, 3.1262789e+004, 2.9722094e+004, 1.9946611e+004,-6.5450055e+004, 3.7748496e+004,-5.0999754e+004, 3.7877473e+004,-6.8770469e+003, 5.7597348e+004, 1.8443272e+005
 0,  34,   0,0,0,67584317.500,  118.3, 5.4678914e+004, 3.0417279e+004, 2.9908834e+004, 1.9585385e+004,-6.5583992e+004, 3.7960031e+004,-5.0335008e+004, 4.0920734e+004,-6.4531055e+003, 5.5454613e+004, 1.8433804e+005
